College_Code,College_Name,Category,Branch,Cutoff_Rank,Year,Round,Exam_Type
E001,Acharya Institute of Technology,GM,AE-Aeronautical Engineering,63649,2023,4,COMEDK
E001,Acharya Institute of Technology,GM,AI-Artificial Intelligence & Machine Learning,27873,2023,4,COMEDK
E001,Acharya Institute of Technology,GM,BT-Biotechnology,46368,2023,4,COMEDK
E001,Acharya Institute of Technology,GM,CD-Computer Science & Engineering (Data Science),24270,2023,4,COMEDK
E001,Acharya Institute of Technology,GM,CS-Computer Science & Engineering,20937,2023,4,COMEDK
E001,Acharya Institute of Technology,GM,CV-Civil Engineering,36369,2023,4,COMEDK
E001,Acharya Institute of Technology,GM,EC-Electronics & Communication Engineering,41637,2023,4,COMEDK
E001,Acharya Institute of Technology,GM,EE-Electrical & Electronics Engineering,48068,2023,4,COMEDK
E001,Acharya Institute of Technology,GM,IS-Information Science & Engineering,27122,2023,4,COMEDK
E003,ACS College of Engineering,GM,AS-Aerospace Engineering,63464,2023,4,COMEDK
E003,ACS College of Engineering,GM,CS-Computer Science & Engineering,73745,2023,4,COMEDK
E004,Adichunchanagiri Institute of Technology,GM,CS-Computer Science & Engineering,73700,2023,4,COMEDK
E004,Adichunchanagiri Institute of Technology,GM,IS-Information Science & Engineering,35856,2023,4,COMEDK
E005,Akash Institute Of Engineering & Technology,GM,"CI-Computer Science & Engineering (Artificial Intelligence &Machine Learning)",22744,2023,4,COMEDK
E005,Akash Institute Of Engineering & Technology,GM,CS-Computer Science & Engineering,19761,2023,4,COMEDK
E006,Alva's Institute of Engineering and Technology,GM,CS-Computer Science & Engineering,60696,2023,4,COMEDK
E007,A M C Engineering College,GM,AE-Aeronautical Engineering,62861,2023,4,COMEDK
E007,A M C Engineering College,GM,AI-Artificial Intelligence & Machine Learning,55365,2023,4,COMEDK
E007,A M C Engineering College,GM,CD-Computer Science & Engineering (Data Science),68129,2023,4,COMEDK
E007,A M C Engineering College,GM,"CI-Computer Science & Engineering (Artificial Intelligence &Machine Learning)",75956,2023,4,COMEDK
E007,A M C Engineering College,GM,CS-Computer Science & Engineering,50480,2023,4,COMEDK
E007,A M C Engineering College,GM,EC-Electronics & Communication Engineering,68737,2023,4,COMEDK
E007,A M C Engineering College,GM,IS-Information Science & Engineering,76262,2023,4,COMEDK
E007,A M C Engineering College,GM,ME-Mechanical Engineering,71936,2023,4,COMEDK
E009,Angadi Institute of Technology and Management,GM,CS-Computer Science & Engineering,53132,2023,4,COMEDK
E011,APS College of Engineering,GM,CS-Computer Science & Engineering,37527,2023,4,COMEDK
E011,APS College of Engineering,GM,CY-Computer Science & Engineering (Cyber Security),59477,2023,4,COMEDK
E012,Atria Institute of Technology,GM,AI-Artificial Intelligence & Machine Learning,42289,2023,4,COMEDK
E012,Atria Institute of Technology,GM,CD-Computer Science & Engineering (Data Science),37947,2023,4,COMEDK
E012,Atria Institute of Technology,GM,CG-Computer Science & Design,77098,2023,4,COMEDK
E012,Atria Institute of Technology,GM,CS-Computer Science & Engineering,33565,2023,4,COMEDK
E012,Atria Institute of Technology,GM,EC-Electronics & Communication Engineering,69526,2023,4,COMEDK
E012,Atria Institute of Technology,GM,IS-Information Science & Engineering,54758,2023,4,COMEDK
E015,B.N.M. Institute of Technology,GM,AI-Artificial Intelligence & Machine Learning,18822,2023,4,COMEDK
E015,B.N.M. Institute of Technology,GM,CS-Computer Science & Engineering,13468,2023,4,COMEDK
E015,B.N.M. Institute of Technology,GM,EC-Electronics & Communication Engineering,27483,2023,4,COMEDK
E015,B.N.M. Institute of Technology,GM,EE-Electrical & Electronics Engineering,60313,2023,4,COMEDK
E015,B.N.M. Institute of Technology,GM,IS-Information Science & Engineering,16054,2023,4,COMEDK
E016,K.L.E Technological University (Formerly known as BVBCET),GM,AM-Automation & Robotics Engineering,47768,2023,4,COMEDK
E016,K.L.E Technological University (Formerly known as BVBCET),GM,BT-Biotechnology,62274,2023,4,COMEDK
E016,K.L.E Technological University (Formerly known as BVBCET),GM,CA-Computer Science & Engineering (Artificial Intelligence),16522,2023,4,COMEDK
E016,K.L.E Technological University (Formerly known as BVBCET),GM,CS-Computer Science & Engineering,13698,2023,4,COMEDK
E016,K.L.E Technological University (Formerly known as BVBCET),GM,EC-Electronics & Communication Engineering,25804,2023,4,COMEDK
E016,K.L.E Technological University (Formerly known as BVBCET),GM,EE-Electrical & Electronics Engineering,40471,2023,4,COMEDK
E016,K.L.E Technological University (Formerly known as BVBCET),GM,ME-Mechanical Engineering,64639,2023,4,COMEDK
E016,K.L.E Technological University (Formerly known as BVBCET),GM,VD-Electronics Engineering (VLSI Design & Technology),33313,2023,4,COMEDK
E017,Ballari Institute of Technology & Management,GM,CS-Computer Science & Engineering,61548,2023,4,COMEDK
E018,Bangalore College of Engineering & Technology,GM,AI-Artificial Intelligence & Machine Learning,68789,2023,4,COMEDK
E018,Bangalore College of Engineering & Technology,GM,CS-Computer Science & Engineering,45561,2023,4,COMEDK
E018,Bangalore College of Engineering & Technology,GM,EC-Electronics & Communication Engineering,59965,2023,4,COMEDK
E018,Bangalore College of Engineering & Technology,GM,EE-Electrical & Electronics Engineering,34877,2023,4,COMEDK
E018,Bangalore College of Engineering & Technology,GM,IS-Information Science & Engineering,64020,2023,4,COMEDK
E019,Bangalore Institute of Technology,GM,AI-Artificial Intelligence & Machine Learning,7559,2023,4,COMEDK
E019,Bangalore Institute of Technology,GM,CD-Computer Science & Engineering (Data Science),6552,2023,4,COMEDK
E019,Bangalore Institute of Technology,GM,CS-Computer Science & Engineering,5790,2023,4,COMEDK
E019,Bangalore Institute of Technology,GM,CV-Civil Engineering,75937,2023,4,COMEDK
E019,Bangalore Institute of Technology,GM,EC-Electronics & Communication Engineering,13459,2023,4,COMEDK
E019,Bangalore Institute of Technology,GM,EE-Electrical & Electronics Engineering,23490,2023,4,COMEDK
E019,Bangalore Institute of Technology,GM,EI-Electronics & Instrumentation Engineering,27074,2023,4,COMEDK
E019,Bangalore Institute of Technology,GM,ET-Electronics & Telecommunication Engineering,20839,2023,4,COMEDK
E019,Bangalore Institute of Technology,GM,"IC-Computer Science & Engineering (IOT & Cyber SecurityIncluding Block Chain Technology)",7711,2023,4,COMEDK
E019,Bangalore Institute of Technology,GM,IS-Information Science & Engineering,8587,2023,4,COMEDK
E019,Bangalore Institute of Technology,GM,ME-Mechanical Engineering,76686,2023,4,COMEDK
E019,Bangalore Institute of Technology,GM,RI-Robotics & Artificial Intelligence,10370,2023,4,COMEDK
E019,Bangalore Institute of Technology,GM,VD-Electronics Engineering (VLSI Design & Technology),26252,2023,4,COMEDK
E020,Bangalore Technological Institute,GM,AI-Artificial Intelligence & Machine Learning,38471,2023,4,COMEDK
E020,Bangalore Technological Institute,GM,CE-Computer Engineering,53387,2023,4,COMEDK
E020,Bangalore Technological Institute,GM,CS-Computer Science & Engineering,54897,2023,4,COMEDK
E020,Bangalore Technological Institute,GM,EC-Electronics & Communication Engineering,56128,2023,4,COMEDK
E021,Bapuji Institute of Engineering & Technology,GM,AI-Artificial Intelligence & Machine Learning,71042,2023,4,COMEDK
E021,Bapuji Institute of Engineering & Technology,GM,CD-Computer Science & Engineering (Data Science),68933,2023,4,COMEDK
E021,Bapuji Institute of Engineering & Technology,GM,CS-Computer Science & Engineering,43225,2023,4,COMEDK
E021,Bapuji Institute of Engineering & Technology,GM,IS-Information Science & Engineering,76228,2023,4,COMEDK
E024,Basaveshwar Engineering College,GM,AI-Artificial Intelligence & Machine Learning,76235,2023,4,COMEDK
E024,Basaveshwar Engineering College,GM,CS-Computer Science & Engineering,39661,2023,4,COMEDK
E024,Basaveshwar Engineering College,GM,EC-Electronics & Communication Engineering,66757,2023,4,COMEDK
E024,Basaveshwar Engineering College,GM,IS-Information Science & Engineering,71140,2023,4,COMEDK
E026,"B L D E A's V.P. Dr. P G Halakatti College of Engg &Technology",GM,CS-Computer Science & Engineering,51655,2023,4,COMEDK
E027,B M S College of Engineering,GM,AD-Artificial Intelligence & Data Science,2451,2023,4,COMEDK
E027,B M S College of Engineering,GM,AI-Artificial Intelligence & Machine Learning,2713,2023,4,COMEDK
E027,B M S College of Engineering,GM,AS-Aerospace Engineering,10048,2023,4,COMEDK
E027,B M S College of Engineering,GM,BT-Biotechnology,21385,2023,4,COMEDK
E027,B M S College of Engineering,GM,CB-Computer Science & Business Systems,2375,2023,4,COMEDK
E027,B M S College of Engineering,GM,CD-Computer Science & Engineering (Data Science),1562,2023,4,COMEDK
E027,B M S College of Engineering,GM,CH-Chemical Engineering,25950,2023,4,COMEDK
E027,B M S College of Engineering,GM,CS-Computer Science & Engineering,1319,2023,4,COMEDK
E027,B M S College of Engineering,GM,CV-Civil Engineering,31536,2023,4,COMEDK
E027,B M S College of Engineering,GM,EC-Electronics & Communication Engineering,3608,2023,4,COMEDK
E027,B M S College of Engineering,GM,EI-Electronics & Instrumentation Engineering,6436,2023,4,COMEDK
E027,B M S College of Engineering,GM,ET-Electronics & Telecommunication Engineering,5172,2023,4,COMEDK
E027,B M S College of Engineering,GM,"IC-Computer Science & Engineering (IOT & Cyber SecurityIncluding Block Chain Technology)",1964,2023,4,COMEDK
E027,B M S College of Engineering,GM,IS-Information Science & Engineering,2235,2023,4,COMEDK
E027,B M S College of Engineering,GM,MD-Medical Electronics Engineering,31872,2023,4,COMEDK
E027,B M S College of Engineering,GM,ME-Mechanical Engineering,12810,2023,4,COMEDK
E028,BMS Institute of Technology & Management,GM,AI-Artificial Intelligence & Machine Learning,6974,2023,4,COMEDK
E028,BMS Institute of Technology & Management,GM,CB-Computer Science & Business Systems,5903,2023,4,COMEDK
E028,BMS Institute of Technology & Management,GM,CS-Computer Science & Engineering,4365,2023,4,COMEDK
E028,BMS Institute of Technology & Management,GM,CV-Civil Engineering,51536,2023,4,COMEDK
E028,BMS Institute of Technology & Management,GM,EC-Electronics & Communication Engineering,9898,2023,4,COMEDK
E028,BMS Institute of Technology & Management,GM,EE-Electrical & Electronics Engineering,20224,2023,4,COMEDK
E028,BMS Institute of Technology & Management,GM,ET-Electronics & Telecommunication Engineering,16533,2023,4,COMEDK
E028,BMS Institute of Technology & Management,GM,IS-Information Science & Engineering,6373,2023,4,COMEDK
E028,BMS Institute of Technology & Management,GM,ME-Mechanical Engineering,43636,2023,4,COMEDK
E030,Brindavan College of Engineering,GM,AI-Artificial Intelligence & Machine Learning,29529,2023,4,COMEDK
E030,Brindavan College of Engineering,GM,CS-Computer Science & Engineering,74209,2023,4,COMEDK
E032,CMR Institute of Technolog,GM,AD-Artificial Intelligence & Data Science,18545,2023,4,COMEDK
E032,CMR Institute of Technolog,GM,AI-Artificial Intelligence & Machine Learning,18417,2023,4,COMEDK
E032,CMR Institute of Technolog,GM,CD-Computer Science & Engineering (Data Science),12986,2023,4,COMEDK
E032,CMR Institute of Technolog,GM,"CI-Computer Science & Engineering (Artificial Intelligence &Machine Learning)",12702,2023,4,COMEDK
E032,CMR Institute of Technolog,GM,CS-Computer Science & Engineering,11123,2023,4,COMEDK
E032,CMR Institute of Technolog,GM,EC-Electronics & Communication Engineering,26160,2023,4,COMEDK
E032,CMR Institute of Technolog,GM,IS-Information Science & Engineering,16165,2023,4,COMEDK
E033,Cambridge Institute of Technology,GM,AI-Artificial Intelligence & Machine Learning,29512,2023,4,COMEDK
E033,Cambridge Institute of Technology,GM,CS-Computer Science & Engineering,20666,2023,4,COMEDK
E033,Cambridge Institute of Technology,GM,EC-Electronics & Communication Engineering,57104,2023,4,COMEDK
E033,Cambridge Institute of Technology,GM,EE-Electrical & Electronics Engineering,60544,2023,4,COMEDK
E033,Cambridge Institute of Technology,GM,"IC-Computer Science & Engineering (IOT & Cyber SecurityIncluding Block Chain Technology)",30933,2023,4,COMEDK
E033,Cambridge Institute of Technology,GM,IS-Information Science & Engineering,26663,2023,4,COMEDK
E035,Channabasaveshwara Institute of Technology,GM,CS-Computer Science & Engineering,70415,2023,4,COMEDK
E035,Channabasaveshwara Institute of Technology,GM,EC-Electronics & Communication Engineering,47867,2023,4,COMEDK
E037,City Engineering College,GM,CS-Computer Science & Engineering,57451,2023,4,COMEDK
